timestamp,machine_id,usine_id,usine_nom,usine_pays,ligne_production,type_piece,machine_profile,temperature,vibration,humidity,pressure,energy_consumption,machine_status,anomaly_flag,predicted_remaining_life,failure_type,maintenance_required,maintenance_type,torque_nm,rotational_speed_rpm,tool_wear_min,product_quality,data_source,temp_trend_1h,temp_std_30min,vibr_rolling_10min,energy_vibr_ratio,temp_rolling_10min,downtime_risk
2025-03-01 00:00:00,63,USN-ES-02,Madrid,Espagne,LP-A,Axe_roue,standard,24.95,24.18,49.46,2.89,3.22,1,0,500,Normal,0,none,42.8,1551,0,M,AI4I_2020_real,,,,,,
2025-03-01 00:05:00,74,USN-ES-01,Barcelone,Espagne,LP-C,Carter_boite,fragile,25.05,19.0,42.31,1.27,2.98,1,0,494,Normal,0,none,46.3,1408,3,L,AI4I_2020_real,,,,,,
2025-03-01 00:10:00,63,USN-ES-01,Barcelone,Espagne,LP-A,Carter_boite,fragile,24.95,24.19,67.71,1.78,3.75,1,0,490,Normal,0,none,49.4,1498,5,L,AI4I_2020_real,,,,,,
2025-03-01 00:15:00,98,USN-FR-02,Toulouse,France,LP-C,Arbre_moteur,fragile,25.05,27.66,61.97,1.69,2.83,1,0,486,Normal,0,none,39.5,1433,7,L,AI4I_2020_real,,,,,,
2025-03-01 00:20:00,95,USN-ES-01,Barcelone,Espagne,LP-B,Axe_roue,fragile,25.05,18.52,40.33,3.04,2.97,1,0,482,Normal,0,none,40.0,1408,9,L,AI4I_2020_real,,,,,,
2025-03-01 00:25:00,75,USN-FR-01,Lyon,France,LP-A,Axe_roue,standard,24.95,18.76,69.72,3.71,2.54,1,0,478,Normal,0,none,41.9,1425,11,M,AI4I_2020_real,,,,,,
2025-03-01 00:30:00,94,USN-ES-02,Madrid,Espagne,LP-C,Carter_boite,fragile,24.95,29.69,74.11,2.27,3.08,1,0,472,Normal,0,none,42.4,1558,14,L,AI4I_2020_real,,,,,,
2025-03-01 00:35:00,97,USN-FR-01,Lyon,France,LP-C,Arbre_moteur,fragile,24.95,25.19,32.96,1.52,3.79,1,0,468,Normal,0,none,40.2,1527,16,L,AI4I_2020_real,,,,,,
2025-03-01 00:40:00,79,USN-ES-01,Barcelone,Espagne,LP-C,Disque_frein,standard,25.15,20.97,68.62,4.19,2.75,1,0,463,Normal,0,none,28.6,1667,18,M,AI4I_2020_real,,,,,,
2025-03-01 00:45:00,66,USN-ES-01,Barcelone,Espagne,LP-A,Arbre_moteur,standard,25.35,27.06,72.64,4.43,3.31,1,0,456,Normal,0,none,28.0,1741,21,M,AI4I_2020_real,,,,,,
